,Orientation X,Orientation X,Orientation X,Orientation X,Orientation X,Orientation Y,Orientation Y,Orientation Y,Orientation Y,Orientation Y,Orientation Z,Orientation Z,Orientation Z,Orientation Z,Orientation Z,Orientation W,Orientation W,Orientation W,Orientation W,Orientation W,Accelerometer X,Accelerometer X,Accelerometer X,Accelerometer X,Accelerometer X,Accelerometer Y,Accelerometer Y,Accelerometer Y,Accelerometer Y,Accelerometer Y,Accelerometer Z,Accelerometer Z,Accelerometer Z,Accelerometer Z,Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope X,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Y,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Gyroscope Z,Gyroscope Z,Gyroscope Z,EMG1,EMG1,EMG1,EMG1,EMG1,EMG2,EMG2,EMG2,EMG2,EMG2,EMG3,EMG3,EMG3,EMG3,EMG3,EMG4,EMG4,EMG4,EMG4,EMG4,EMG5,EMG5,EMG5,EMG5,EMG5,EMG6,EMG6,EMG6,EMG6,EMG6,EMG7,EMG7,EMG7,EMG7,EMG7,EMG8,EMG8,EMG8,EMG8,EMG8,Roll,Roll,Roll,Roll,Roll,Yaw,Yaw,Yaw,Yaw,Yaw,Corr Acc X,Corr Acc Y,Corr Acc Z,Corr Acc X,Corr Acc X,Corr Acc Y
,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,Cor Roll,Cor Roll,Cor Roll,Corr Acc Y,Corr Acc Z,Corr Acc Z
0,0.775093678,0.037894128,0.693215339,0.82300885,0.775994436,0.649102884,0.024047697,0.609243697,0.693277311,0.649536155,0.681145431,0.023180556,0.626984127,0.714285714,0.6815291,0.219281137,0.015822242,0.190721649,0.24742268,0.219835835,0.444885158,0.073250703,0.249146758,0.633105802,0.450714379,0.675219523,0.059270115,0.567510549,0.784810127,0.677745828,0.275315315,0.054462793,0.173333333,0.407407407,0.280507667,0.374163235,0.114556781,0.199465949,0.605149469,0.390853808,0.415950685,0.052851478,0.306560383,0.5471774,0.419204911,0.515582827,0.094170652,0.290076555,0.657894737,0.523883655,0.558961947,0.134916797,0.253731343,0.880597015,0.574585972,0.649282095,0.10511908,0.328125,1,0.657509399,0.524924925,0.149103526,0.044444444,1,0.545139594,0.451635846,0.069904497,0.184210526,0.578947368,0.456869243,0.424864865,0.104806095,0.026666667,0.813333333,0.437261475,0.471698113,0.096310647,0.075471698,0.735849057,0.48116957,0.663104965,0.114406317,0.372093023,0.860465116,0.672639018,0.541854354,0.209311531,0,1,0.579856335,0.263097451,0.036779134,0.211805489,0.336757848,0.265586924,0.263862945,0.019017973,0.233624541,0.305369117,0.264528943,-0.121846099,-0.462111386,1,0.200803207,0.310712726,-0.095954439
1,0.870982767,0.078959297,0.669616519,0.961651917,0.874491951,0.851688044,0.102280522,0.705882353,1,0.857700587,0.549150654,0.083170376,0.44047619,0.71031746,0.555303877,0.402514017,0.111432218,0.211340206,0.546391753,0.417392895,0.510957428,0.107758288,0.220136519,0.890784983,0.522001557,0.60874232,0.092763683,0.407172996,0.786919831,0.615647096,0.434983756,0.107867198,0.254814815,0.619259259,0.447930878,0.354960655,0.137155258,0.169615527,0.672318347,0.380103412,0.347681877,0.059940917,0.222981973,0.513876628,0.352721657,0.537322757,0.149301589,0.225483254,0.794861244,0.557329023,0.565156673,0.132108255,0.189054726,0.815920398,0.580127977,0.621025219,0.149178154,0,0.9921875,0.63838548,0.513450292,0.145338152,0.066666667,0.977777778,0.533276475,0.465373961,0.100504256,0.184210526,1,0.475916817,0.427836257,0.068372495,0.24,0.72,0.43317046,0.467725919,0.07331286,0.264150943,0.660377358,0.473337106,0.645450836,0.108660793,0.325581395,0.860465116,0.654375127,0.524244639,0.137575153,0.236111111,0.881944444,0.541689315,0.104971784,0.094424581,0,0.293321799,0.140636609,0.427861973,0.100525148,0.257398701,0.561087714,0.439310695,-0.271000215,-0.197850384,1,0.070873987,0.294852845,-0.083198572
2,0.416180255,0.033361468,0.359882006,0.474926254,0.4174869,0.381995351,0.020599413,0.340336134,0.428571429,0.382538568,0.557244174,0.063722111,0.428571429,0.634920635,0.560798701,0.279776267,0.058275501,0.216494845,0.402061856,0.285654577,0.479667417,0.160820587,0.080204778,1,0.505365026,0.608178472,0.070731149,0.462025316,0.738396624,0.612190742,0.353128448,0.083347067,0.17037037,0.551111111,0.3626274,0.381752835,0.120158627,0.084123917,0.658076982,0.399832627,0.379020419,0.147835804,0.188380512,0.903691554,0.406259638,0.507661407,0.097300003,0.266746411,0.708133971,0.516706844,0.584100773,0.108155347,0.213930348,0.905472637,0.593820181,0.649767287,0.086035011,0.3984375,0.9296875,0.65531829,0.54893617,0.075844134,0.377777778,0.755555556,0.554040487,0.464165733,0.092052213,0.197368421,0.881578947,0.473014956,0.433758865,0.048222597,0.346666667,0.666666667,0.436374489,0.479727017,0.08563127,0,0.622641509,0.487149577,0.654626423,0.101714639,0.348837209,0.976744186,0.662315254,0.540927896,0.111377192,0.159722222,0.819444444,0.552036171,0.628981603,0.029330656,0.567389867,0.670758869,0.62965057,0.340334426,0.059347353,0.267734595,0.459846697,0.345361682,0.123952436,-0.65942617,1,-0.344055268,0.275583207,-0.492998975
3,0.51517067,0.021109653,0.466076696,0.545722714,0.515592695,0.347839136,0.060337839,0.281512605,0.470588235,0.352910806,0.648620559,0.055217171,0.591269841,0.765873016,0.650910879,0.19317624,0.047560749,0.097938144,0.25257732,0.198809523,0.460872745,0.072065091,0.319112628,0.656996587,0.466340447,0.715240104,0.069028311,0.573839662,0.862869198,0.718484422,0.284338624,0.063981155,0.14962963,0.404444444,0.291280921,0.340263542,0.081914195,0.169615527,0.508141024,0.349756276,0.358309721,0.062607511,0.24126475,0.461963988,0.363609998,0.473912281,0.060691884,0.374401914,0.608851675,0.477690959,0.584814025,0.102827601,0.343283582,0.965174129,0.593573255,0.649739583,0.063232104,0.4765625,0.796875,0.652736262,0.542857143,0.116678188,0.222222222,1,0.554962647,0.464598997,0.039257871,0.394736842,0.552631579,0.466215309,0.433333333,0.09579789,0.226666667,0.813333333,0.443549893,0.476190476,0.052183526,0.358490566,0.641509434,0.478973542,0.656699889,0.050797833,0.511627907,0.76744186,0.658615006,0.535218254,0.058048587,0.319444444,0.673611111,0.538282443,0.569351922,0.037673014,0.503064266,0.631401148,0.570567328,0.257433953,0.052766582,0.147438815,0.317090095,0.262659969,-0.175175135,0.085666408,1,0.028435724,0.099179065,-0.44007383
4,0.672636606,0.027790604,0.587020649,0.696165192,0.673196801,0.773309324,0.019420462,0.743697479,0.802521008,0.773547338,0.778344671,0.05351007,0.69047619,0.853174603,0.78013818,0.152675503,0.045295522,0.087628866,0.221649485,0.159099478,0.406427759,0.057793461,0.274744027,0.532423208,0.410419397,0.472925457,0.047488456,0.364978903,0.573839662,0.475247249,0.236296296,0.058810632,0.14962963,0.365925926,0.243335736,0.386317445,0.06806223,0.287649523,0.518311877,0.392126687,0.359701078,0.041382368,0.28110031,0.472411289,0.362017392,0.52482046,0.056631014,0.455148325,0.659684211,0.527794684,0.559938403,0.066287267,0.432835821,0.701492537,0.563755619,0.630766369,0.039387351,0.5,0.703125,0.631965694,0.532275132,0.047064348,0.422222222,0.644444444,0.53430247,0.463659148,0.01714583,0.434210526,0.5,0.463968518,0.428571429,0.013356542,0.4,0.453333333,0.428774555,0.47933513,0.022847477,0.433962264,0.528301887,0.479866383,0.657807309,0.034181132,0.604651163,0.744186047,0.658673658,0.537533069,0.027567784,0.472222222,0.638888889,0.538222712,0.304226536,0.030951473,0.27329566,0.387274232,0.30575966,0.192608446,0.051403124,0.1161311,0.270303901,0.199191825,-0.278747335,-0.54716357,1,0.062031732,0.324166622,0.153222962
5,0.86171667,0.054289289,0.784660767,0.94100295,0.863383496,0.81379381,0.046716558,0.739495798,0.882352941,0.815100958,0.351626016,0.073978291,0.25,0.476190476,0.35913808,0.579834046,0.081274472,0.432989691,0.690721649,0.585364801,0.557853992,0.116722679,0.266211604,0.798634812,0.569642838,0.678913245,0.075069949,0.510548523,0.816455696,0.682950394,0.599783198,0.098444729,0.428148148,0.791111111,0.607614083,0.437866644,0.144940452,0.246944402,0.694027745,0.460676186,0.395149675,0.167362479,0.166827729,0.828925443,0.42833432,0.481269926,0.106783592,0.217703349,0.615435407,0.492691955,0.574566193,0.095479118,0.338308458,0.835820896,0.582254433,0.632621951,0.108119014,0.296875,0.8359375,0.641572396,0.530081301,0.088688799,0.266666667,0.688888889,0.537270921,0.464056483,0.098025185,0,0.763157895,0.474049567,0.431219512,0.02505279,0.373333333,0.52,0.431928931,0.482282559,0.070224273,0.132075472,0.58490566,0.487244944,0.672149745,0.111991278,0.465116279,1,0.681191179,0.545392954,0.084427104,0.368055556,0.777777778,0.551731418,0.11799441,0.048273233,0.047152355,0.189094658,0.127264092,0.605194183,0.078516499,0.470694344,0.716426069,0.610142998,-0.098748992,-0.456280737,1,-0.005575283,0.276021211,-0.553552588
6,0.471407131,0.023608291,0.421828909,0.504424779,0.47198756,0.383827215,0.017260004,0.348739496,0.420168067,0.384208293,0.289264829,0.066977918,0.162698413,0.444444444,0.296785242,0.536444203,0.071064215,0.381443299,0.675257732,0.541048895,0.561672954,0.100322181,0.28668942,0.796928328,0.57040729,0.66577837,0.059208739,0.529535865,0.797468354,0.66835994,0.59539961,0.078231824,0.45037037,0.728888889,0.600427799,0.406901341,0.107211785,0.177756551,0.639081258,0.420548942,0.34414794,0.092043985,0.218416503,0.697686445,0.356035485,0.479581466,0.08308965,0.338516746,0.655502392,0.486601635,0.589683163,0.065660773,0.422885572,0.766169154,0.593263797,0.648985746,0.033435689,0.5703125,0.7578125,0.649831386,0.539181287,0.081165052,0.288888889,0.755555556,0.545150118,0.462373038,0.042740639,0.25,0.565789474,0.464309746,0.42877193,0.015489776,0.4,0.466666667,0.429046724,0.477325389,0.016711285,0.452830189,0.509433962,0.477612704,0.653202774,0.029573934,0.604651163,0.744186047,0.653860182,0.537402534,0.029948492,0.458333333,0.631944444,0.538221758,0.573542074,0.021108157,0.540349961,0.620720073,0.573923556,0.599334387,0.066655063,0.446540327,0.726826232,0.602964891,-0.118880405,-0.649026947,1,0.060115702,0.107322697,-0.165864489
7,0.461441214,0.02572901,0.430678466,0.501474926,0.462137492,0.325090036,0.074989637,0.214285714,0.424369748,0.333386123,0.570634921,0.017923158,0.531746032,0.607142857,0.570908289,0.259793814,0.016213874,0.226804124,0.288659794,0.260284853,0.483276451,0.06214703,0.33447099,0.619453925,0.487142721,0.684086799,0.06339931,0.571729958,0.837552743,0.686934771,0.340571429,0.043227749,0.24,0.435555556,0.343226087,0.411360838,0.218237689,0,0.658749973,0.464203228,0.372166599,0.057985581,0.251388185,0.498205676,0.3765292,0.482075188,0.080850777,0.369617225,0.645330144,0.488616995,0.553802416,0.142505587,0.074626866,0.950248756,0.571335921,0.639285714,0.08916656,0.4375,0.875,0.645298177,0.558095238,0.136324981,0.177777778,0.977777778,0.574041644,0.470300752,0.063211315,0.315789474,0.631578947,0.474409428,0.437333333,0.093322128,0.226666667,0.72,0.446901147,0.486792453,0.071011373,0.320754717,0.698113208,0.491798162,0.660465116,0.076758694,0.372093023,0.76744186,0.66478397,0.521825397,0.120105979,0.166666667,0.902777778,0.535084138,0.615945539,0.039781267,0.551300702,0.673633105,0.617192223,0.327058624,0.017865536,0.293423291,0.362577626,0.327532291,-0.117848825,-0.549466441,1,0.086272485,0.153525033,-0.112499652
8,0.774159292,0.04251064,0.687315634,0.879056047,0.775302277,0.726638655,0.079478725,0.609243697,0.861344538,0.730885946,0.838809524,0.05300311,0.76984127,0.928571429,0.840449023,0.110824742,0.051675097,0.025773196,0.170103093,0.122061594,0.37778157,0.082355464,0.16552901,0.539249147,0.386478575,0.566329114,0.102060268,0.324894515,0.801687764,0.575270925,0.18077037,0.062511289,0.054814815,0.325925926,0.191069189,0.318346395,0.145807792,0.075982893,0.683173046,0.34954133,0.383331018,0.068623488,0.245840668,0.552071961,0.389304082,0.514151196,0.104937662,0.302631579,0.74462201,0.524540873,0.568258706,0.075580531,0.358208955,0.686567164,0.573163263,0.6390625,0.059894678,0.515625,0.828125,0.641807217,0.532,0.092599425,0.311111111,0.777777778,0.53983994,0.47,0.040054799,0.328947368,0.578947368,0.471669693,0.442133333,0.095175599,0.16,1,0.45206096,0.477735849,0.06257086,0.245283019,0.773584906,0.481734732,0.656744186,0.050725142,0.488372093,0.813953488,0.658661146,0.536111111,0.032177132,0.430555556,0.611111111,0.537056593,0.244101673,0.060409781,0.114217134,0.338652381,0.251320476,0.136906032,0.053639721,0.045612985,0.201140874,0.14684324,-0.209191318,0.196159274,1,0.2996593,0.16546839,-0.104921844
