Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1503512629719,+0.775,+0.511,-0.069,-0.365,+0.902,-0.256,-0.427,-9.188,-13.312,+1.438,1, -1, -1, -1, 0, 7, 3, 4
1503512629738,+0.776,+0.510,-0.068,-0.366,+0.866,-0.284,-0.416,-6.312,-8.750,+6.000,6, 3, -2, -1, -3, -3, -2, 1
1503512629761,+0.775,+0.510,-0.068,-0.368,+0.856,-0.285,-0.438,-5.688,+1.062,+9.000,15, 4, 4, 1, 0, -1, -3, 0
1503512629782,+0.774,+0.510,-0.068,-0.369,+0.863,-0.268,-0.445,-5.562,+8.500,+9.812,4, 3, -2, -2, -1, -1, -7, -11
1503512629798,+0.772,+0.511,-0.069,-0.370,+0.862,-0.252,-0.427,-4.312,+9.438,+5.312,-2, -3, -3, 0, 0, 0, -1, -1
1503512629820,+0.772,+0.512,-0.070,-0.370,+0.867,-0.248,-0.398,-6.312,+2.688,+0.750,3, 3, 0, 1, 5, 2, -4, 1
1503512629842,+0.771,+0.512,-0.071,-0.371,+0.893,-0.269,-0.384,-9.188,+2.438,+3.750,4, -2, -2, -2, -1, -2, -3, -5
1503512629858,+0.770,+0.512,-0.072,-0.373,+0.843,-0.283,-0.438,-9.750,+8.750,+7.812,-2, -3, -3, -3, -2, -1, -1, 1
1503512629879,+0.769,+0.512,-0.073,-0.375,+0.824,-0.277,-0.393,-10.250,+1.438,+4.438,-11, -2, 3, 1, -1, 3, -4, -6
1503512629902,+0.769,+0.512,-0.074,-0.376,+0.887,-0.269,-0.389,-13.812,-1.750,+1.062,2, 1, 1, 0, 0, -2, 0, -1
1503512629919,+0.768,+0.511,-0.076,-0.378,+0.894,-0.259,-0.420,-17.062,+3.000,+8.938,2, -1, -3, -3, -2, -4, 4, 1
1503512629939,+0.767,+0.510,-0.077,-0.381,+0.863,-0.226,-0.456,-16.625,+2.938,+17.500,3, 8, 6, 2, -4, 2, 3, 2
