Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1503602222619,-0.772,-0.321,-0.155,-0.527,+0.681,+0.095,-0.697,-1.000,-0.938,+0.438,4, 1, -2, 0, 2, 3, 3, 2
1503602222642,-0.772,-0.321,-0.155,-0.526,+0.684,+0.095,-0.708,-0.875,-0.750,+0.750,0, 1, -1, 0, 0, -1, -1, 0
1503602222657,-0.772,-0.320,-0.155,-0.526,+0.683,+0.091,-0.715,-0.625,-1.000,+0.750,0, 0, -2, 0, 0, -1, 0, 2
1503602222679,-0.772,-0.320,-0.155,-0.526,+0.681,+0.089,-0.709,-0.562,-0.562,+0.250,-3, -1, -1, -3, -1, -3, -3, -6
1503602222710,-0.773,-0.320,-0.155,-0.526,+0.682,+0.083,-0.715,-0.812,+0.000,+0.250,-5, -3, -1, 1, -1, 0, 1, 0
1503602222725,-0.773,-0.320,-0.155,-0.526,+0.676,+0.088,-0.709,-0.875,-0.625,+0.562,-4, -1, -2, -2, -1, -1, -2, -2
1503602222739,-0.773,-0.320,-0.154,-0.526,+0.671,+0.090,-0.712,-0.875,-0.312,+0.562,4, 0, 1, 1, 0, 0, 2, 3
1503602222761,-0.773,-0.320,-0.155,-0.526,+0.677,+0.087,-0.710,-1.312,+1.062,+0.250,-2, -2, -2, -1, 0, 0, -1, -5
1503602222777,-0.773,-0.321,-0.155,-0.525,+0.681,+0.089,-0.710,-1.250,+1.312,+0.250,-2, 2, 0, -2, -2, -2, -4, -3
1503602222799,-0.773,-0.321,-0.155,-0.525,+0.687,+0.093,-0.708,-1.312,+1.562,+0.438,-5, -2, -2, 0, -1, -2, 1, -1
1503602222822,-0.773,-0.321,-0.155,-0.525,+0.684,+0.085,-0.707,-1.062,+0.562,+0.062,-1, -1, 0, -3, -3, 0, 0, 1
1503602222837,-0.773,-0.321,-0.155,-0.525,+0.679,+0.094,-0.711,-1.125,+0.875,+0.312,-1, -1, -1, -1, -1, -1, 0, 0
1503602222860,-0.773,-0.321,-0.155,-0.525,+0.678,+0.089,-0.711,-1.250,+1.000,-0.125,1, 0, 0, 0, 0, 1, 1, 0
1503602222882,-0.773,-0.322,-0.155,-0.524,+0.678,+0.086,-0.709,-1.062,+1.312,-0.375,-1, -1, 0, -1, -2, -2, -1, -2
1503602222897,-0.773,-0.322,-0.155,-0.524,+0.688,+0.095,-0.706,-1.625,+1.125,+0.188,0, -2, -1, -1, 0, 0, 0, 1
1503602222919,-0.773,-0.322,-0.155,-0.524,+0.688,+0.092,-0.703,-1.438,+0.312,-0.188,-1, 1, -2, 1, 0, 1, 0, 0
1503602222942,-0.773,-0.322,-0.155,-0.524,+0.683,+0.094,-0.705,-1.000,+0.875,+0.000,-1, 0, -1, -1, 3, 0, -2, -1
1503602222957,-0.773,-0.323,-0.155,-0.524,+0.681,+0.093,-0.708,-1.125,+1.125,-0.125,2, -1, -1, 0, 1, -1, -2, -2
1503602222981,-0.773,-0.323,-0.155,-0.524,+0.682,+0.087,-0.712,-1.438,+1.812,-0.625,0, 0, 0, -1, -3, -1, 0, 1
1503602223001,-0.773,-0.323,-0.155,-0.524,+0.684,+0.091,-0.705,-1.250,+1.000,-0.312,-4, -2, -2, -1, -2, -2, -2, -3
1503602223018,-0.773,-0.323,-0.154,-0.523,+0.688,+0.094,-0.699,-1.375,+0.312,+0.188,-1, 1, 1, -2, -1, -2, -1, -1
1503602223039,-0.773,-0.323,-0.154,-0.523,+0.678,+0.093,-0.699,-0.750,-0.250,+0.562,-5, -2, -4, -1, -1, -1, -2, -4
1503602223063,-0.773,-0.323,-0.154,-0.523,+0.686,+0.094,-0.710,-0.562,+0.562,+0.562,1, -2, -2, -4, 0, -1, -1, 1
1503602223079,-0.773,-0.323,-0.155,-0.523,+0.683,+0.084,-0.708,-1.188,+0.812,-0.062,-1, 1, 0, 0, 0, 1, 0, 0
1503602223099,-0.773,-0.324,-0.155,-0.523,+0.688,+0.092,-0.702,-1.125,+0.438,+0.062,0, 0, -1, 1, 1, 2, 1, 0
1503602223122,-0.774,-0.324,-0.154,-0.523,+0.683,+0.090,-0.709,-1.250,-0.125,+0.250,-4, -1, -1, -1, -2, -2, -1, -2
1503602223137,-0.774,-0.324,-0.154,-0.522,+0.681,+0.093,-0.706,-1.125,+0.062,+0.688,-1, 0, -2, 2, 0, -2, 0, 0
1503602223161,-0.774,-0.324,-0.154,-0.522,+0.684,+0.089,-0.706,-1.375,+0.312,+0.125,2, -1, 0, -3, 0, 1, 0, 0
1503602223184,-0.774,-0.324,-0.154,-0.522,+0.675,+0.091,-0.708,-1.125,+0.562,-0.062,-5, -2, -1, -1, -1, -1, -2, -1
1503602223198,-0.774,-0.324,-0.154,-0.522,+0.693,+0.101,-0.701,-1.250,+0.188,+0.188,-6, -4, -1, -1, 2, 0, -2, -1
1503602223222,-0.774,-0.324,-0.154,-0.522,+0.681,+0.096,-0.702,-0.438,+0.125,+0.125,-1, -2, -1, -1, 0, 1, 2, -1
1503602223242,-0.774,-0.324,-0.154,-0.522,+0.681,+0.099,-0.709,+0.000,+0.500,+1.000,0, 1, -1, -1, -1, 0, 1, 3
1503602223259,-0.774,-0.324,-0.154,-0.522,+0.684,+0.094,-0.701,+0.188,-0.062,+0.438,4, 0, 0, -3, -2, 0, 0, 4
1503602223280,-0.774,-0.324,-0.154,-0.522,+0.682,+0.092,-0.698,+1.062,+0.250,+0.125,-6, -3, -1, 0, -5, -4, -1, -2
1503602223301,-0.774,-0.324,-0.154,-0.522,+0.688,+0.096,-0.704,+0.812,+0.312,+0.500,2, 1, 1, -1, 0, 0, 2, 1
1503602223318,-0.774,-0.324,-0.154,-0.522,+0.696,+0.084,-0.713,+0.750,-1.250,+0.438,-2, 0, 1, 2, 0, -1, 2, 2
1503602223340,-0.774,-0.323,-0.154,-0.522,+0.683,+0.084,-0.716,+0.000,-2.812,+1.250,1, 1, -1, -2, -3, -1, -1, -2
1503602223362,-0.775,-0.323,-0.154,-0.521,+0.682,+0.083,-0.707,-0.625,-4.688,+1.438,0, -1, 0, 0, -2, -1, 0, 0
1503602223378,-0.775,-0.322,-0.154,-0.521,+0.677,+0.082,-0.712,-1.125,-3.188,+1.312,0, -3, -2, -1, -2, 1, -1, -1
1503602223400,-0.776,-0.322,-0.153,-0.521,+0.689,+0.082,-0.711,-2.188,-2.625,+1.750,0, 0, -1, 0, 0, -1, -1, -5
1503602223422,-0.776,-0.321,-0.153,-0.521,+0.677,+0.081,-0.712,-1.625,-3.875,+1.750,2, -1, -2, -3, 0, 0, 2, 4
1503602223438,-0.777,-0.321,-0.153,-0.520,+0.681,+0.094,-0.701,-1.562,-4.000,+2.562,3, 0, -2, 0, 1, 2, -1, -2
1503602223460,-0.777,-0.320,-0.152,-0.520,+0.673,+0.089,-0.713,-1.000,-4.062,+1.750,-2, -1, 0, -4, -3, -2, 0, -2
1503602223487,-0.777,-0.320,-0.152,-0.520,+0.669,+0.090,-0.724,-0.750,-2.125,+2.062,1, 2, 2, -1, -3, -2, 0, 1
1503602223498,-0.778,-0.320,-0.152,-0.519,+0.673,+0.090,-0.711,-0.562,-1.625,+1.625,0, -1, -1, 0, 0, 0, -1, 4
1503602223521,-0.778,-0.320,-0.152,-0.519,+0.669,+0.091,-0.712,-0.125,+0.188,+1.062,-1, -3, 1, -1, 0, -1, 0, 0
1503602223542,-0.778,-0.320,-0.152,-0.519,+0.680,+0.087,-0.715,-0.250,+1.188,+1.250,0, -1, -1, 2, 1, 0, 2, 0
1503602223558,-0.778,-0.320,-0.152,-0.519,+0.682,+0.085,-0.711,+0.125,+0.375,+0.875,-3, 0, 0, 0, -1, 0, -3, -3
1503602223580,-0.778,-0.320,-0.152,-0.519,+0.683,+0.084,-0.717,-0.062,+0.375,+1.250,-1, 0, -1, -1, -1, -1, -1, -4
1503602223602,-0.778,-0.320,-0.153,-0.519,+0.677,+0.083,-0.717,-0.250,+0.062,+0.938,-3, -1, -1, 0, 0, 0, -5, -7
1503602223619,-0.778,-0.320,-0.153,-0.519,+0.678,+0.081,-0.709,+0.000,+0.438,+0.812,-4, -4, -3, -1, 2, -2, 0, -2
1503602223640,-0.778,-0.320,-0.153,-0.519,+0.678,+0.082,-0.711,-0.188,+1.000,+0.625,-2, 0, -1, -1, -1, -1, 1, 0
1503602223662,-0.778,-0.320,-0.153,-0.519,+0.680,+0.082,-0.721,-0.125,+1.625,+0.188,-3, -5, -3, -1, -2, -2, -4, -2
1503602223678,-0.778,-0.320,-0.153,-0.518,+0.678,+0.079,-0.711,-0.312,+2.250,+0.188,2, 2, -1, -2, -2, -1, 0, 2
1503602223700,-0.778,-0.320,-0.154,-0.518,+0.685,+0.081,-0.714,-0.188,+2.000,+0.188,0, -1, -1, -1, 0, 0, 1, 2
1503602223722,-0.778,-0.321,-0.154,-0.518,+0.680,+0.085,-0.705,+0.062,+1.125,+0.500,1, 0, 0, 1, 0, -1, 0, 0
1503602223738,-0.778,-0.321,-0.154,-0.518,+0.672,+0.087,-0.703,+0.312,+1.000,+0.875,-5, -1, -2, -1, -1, -2, -1, -3
1503602223760,-0.778,-0.321,-0.154,-0.518,+0.686,+0.085,-0.707,+0.562,+1.188,+0.812,-1, 2, 0, -1, -3, -2, -3, -1
1503602223781,-0.778,-0.321,-0.155,-0.518,+0.684,+0.081,-0.715,+1.062,+1.438,+0.875,-1, -1, -1, 1, -1, 2, 1, 1
1503602223798,-0.778,-0.321,-0.155,-0.517,+0.680,+0.083,-0.705,+1.125,+0.562,+1.375,0, 1, 1, -2, -2, -1, 1, -1
1503602223821,-0.778,-0.320,-0.155,-0.517,+0.676,+0.086,-0.713,+1.312,+0.125,+1.688,2, 1, 1, -1, 0, -1, 3, 3
1503602223842,-0.778,-0.320,-0.155,-0.517,+0.681,+0.080,-0.714,+0.875,+0.750,+1.000,1, -2, -2, -2, -2, 0, -1, 1
1503602223858,-0.778,-0.320,-0.156,-0.517,+0.677,+0.073,-0.707,+0.625,+1.500,+0.188,0, -1, -3, -1, 0, -1, 0, -1
1503602223880,-0.778,-0.321,-0.156,-0.517,+0.686,+0.083,-0.713,+0.125,+1.938,+0.812,0, 0, 0, -2, -3, -3, -3, -3
1503602223901,-0.778,-0.321,-0.156,-0.517,+0.687,+0.076,-0.711,-0.062,+1.625,+0.500,1, -1, -1, 0, -1, 1, 0, 1
1503602223918,-0.778,-0.321,-0.156,-0.516,+0.686,+0.076,-0.708,-0.562,+1.688,+1.062,0, 0, 0, -1, -2, -1, -3, -1
1503602223940,-0.779,-0.321,-0.157,-0.516,+0.687,+0.073,-0.707,-1.375,+1.375,+0.188,-1, 1, 0, 4, 12, -1, -1, -3
1503602223962,-0.779,-0.322,-0.157,-0.516,+0.679,+0.078,-0.701,-1.312,+1.500,-0.250,-2, -2, -3, -6, -7, -2, -3, -1
1503602223978,-0.779,-0.322,-0.157,-0.516,+0.687,+0.083,-0.704,-0.625,+0.688,+0.500,0, 2, 1, 0, -1, 0, 0, 2
1503602224000,-0.779,-0.322,-0.157,-0.516,+0.685,+0.079,-0.709,-0.312,+0.438,+0.688,0, -3, -1, -2, 1, 0, -1, -2
1503602224023,-0.779,-0.322,-0.157,-0.516,+0.686,+0.074,-0.709,-0.562,+0.500,+0.688,-1, 0, 1, -3, -2, -3, -5, -3
1503602224038,-0.779,-0.322,-0.157,-0.515,+0.688,+0.076,-0.705,-1.125,-0.250,+0.375,-2, 0, 0, 0, 0, 0, 0, -1
