Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Roll,Yaw
1503602230225,-0.797,-0.309,-0.253,-0.453,+0.831,-0.149,-0.569,-16.938,+7.562,-3.875,14, 1, 1, 0, 1, 0, -1, -18,2.0544227761054947,0.8144350987644056
1503602230247,-0.798,-0.311,-0.252,-0.451,+0.805,-0.140,-0.672,-13.375,+7.125,+2.625,13, -3, -2, -2, -2, -4, -7, 8,2.060364538791856,0.8168228819443157
1503602230262,-0.799,-0.310,-0.250,-0.451,+0.753,-0.112,-0.677,-6.688,-10.688,+5.750,-7, 4, -1, 1, 2, 0, -3, -18,2.0624973092777448,0.8125202013714243
1503602230285,-0.800,-0.308,-0.248,-0.451,+0.701,-0.082,-0.611,-3.500,-16.562,+1.188,-11, -2, -1, -2, -3, 2, 1, 6,2.063774740327736,0.8062192266072903
1503602230308,-0.800,-0.307,-0.246,-0.452,+0.702,-0.086,-0.572,-4.438,-11.188,-6.312,-2, -2, 1, 1, 0, -1, 1, -4,2.062741475579565,0.8018590062929671
1503602230322,-0.800,-0.308,-0.245,-0.453,+0.726,-0.120,-0.591,-8.562,-6.062,-8.250,-2, -2, 0, 0, -2, 2, -1, -6,2.06313087680768,0.8028683714359802
1503602230345,-0.800,-0.308,-0.242,-0.453,+0.725,-0.116,-0.640,-12.312,-3.938,-5.625,4, 2, -3, -1, 0, 1, -1, 3,2.0640113382361625,0.7988531255355611
1503602230367,-0.801,-0.309,-0.240,-0.454,+0.671,-0.074,-0.708,-8.188,+0.188,-4.938,-7, -2, -2, -2, -9, -5, -9, -13,2.067100312925181,0.7989744729917883
1503602230390,-0.800,-0.309,-0.239,-0.455,+0.679,-0.089,-0.709,+0.312,+1.750,-6.750,9, -2, 0, 1, 1, -1, -4, 10,2.0642330931659045,0.797549530972974
1503602230405,-0.800,-0.308,-0.239,-0.456,+0.726,-0.135,-0.701,+1.938,+0.062,-5.750,-4, -1, -1, -1, 1, -1, 4, -3,2.0626062623495693,0.7958740532260163
1503602230427,-0.800,-0.308,-0.239,-0.456,+0.739,-0.145,-0.679,-1.438,-4.125,-3.188,-6, -2, 0, -1, -1, -1, -1, -4,2.0626062623495693,0.7958740532260163
1503602230442,-0.800,-0.307,-0.239,-0.456,+0.734,-0.155,-0.668,+1.062,-2.375,-4.688,6, -1, -2, -1, 1, -1, 4, 8,2.0617423360846234,0.7938648004817311
1503602230466,-0.800,-0.307,-0.240,-0.457,+0.735,-0.174,-0.671,+3.438,+2.562,-6.500,1, 1, 2, -1, 2, 3, 4, -4,2.0606939828911477,0.7955324280815532
1503602230487,-0.799,-0.307,-0.241,-0.457,+0.734,-0.181,-0.688,+0.000,+7.688,-5.000,-3, -1, -2, -1, -2, -2, 0, -5,2.057996843451418,0.7964345521566388
1503602230502,-0.799,-0.309,-0.241,-0.457,+0.756,-0.159,-0.680,-2.312,+8.438,-4.312,6, -2, -6, -6, -2, -3, -3, 1,2.059729937115284,0.8004510588130276
1503602230525,-0.798,-0.309,-0.242,-0.457,+0.747,-0.149,-0.699,+2.250,+6.188,-4.375,1, 0, -3, -2, 0, -1, -1, 0,2.057033420845851,0.8013554282124974
1503602230547,-0.798,-0.309,-0.243,-0.458,+0.726,-0.153,-0.681,+4.062,+2.688,-4.062,-1, 16, 1, 3, 0, 0, 0, -4,2.0559947734625976,0.8030348794125772
1503602230563,-0.797,-0.309,-0.244,-0.458,+0.728,-0.146,-0.641,+3.000,+5.188,-4.750,0, -11, -7, 0, -3, -1, -1, 0,2.053296725654899,0.8039477447748068
1503602230585,-0.796,-0.311,-0.245,-0.458,+0.749,-0.145,-0.634,+0.812,+9.500,-4.875,-4, -3, -3, -5, -3, -2, -3, -1,2.0523498036938843,0.8088810866718227
1503602230607,-0.795,-0.312,-0.246,-0.458,+0.752,-0.134,-0.645,-1.500,+9.312,-4.125,-3, -18, -4, -3, 1, 0, -2, 3,2.050531210099572,0.8118102498382044
1503602230622,-0.795,-0.313,-0.246,-0.458,+0.753,-0.104,-0.657,-1.125,+7.375,-3.625,0, -2, 2, -3, -4, -2, -1, -2,2.051417517080127,0.8138222105276501
1503602230645,-0.794,-0.314,-0.246,-0.458,+0.723,-0.087,-0.678,+0.688,+5.125,-1.875,-20, -3, -1, -2, 0, -1, 0, -2,2.0498978990360435,0.8154031553641234
1503602230669,-0.794,-0.314,-0.246,-0.459,+0.716,-0.097,-0.645,+2.062,+5.062,-4.938,-20, -4, -2, -1, 0, 0, -2, -2,2.049162239468059,0.815742215605667
1503602230682,-0.793,-0.315,-0.246,-0.460,+0.739,-0.101,-0.650,+2.938,+5.250,-5.812,-5, -5, -2, -1, 1, 0, 2, 1,2.046916617548709,0.8176616343454765
