Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1503604435831,-0.872,-0.445,+0.030,+0.204,+0.804,-0.098,-0.575,-8.562,-7.562,-1.875,10, -1, -2, 0, 1, 2, -1, 3
1503604435847,-0.872,-0.443,+0.030,+0.204,+0.712,-0.123,-0.588,-3.562,-5.062,-1.375,-22, 24, 15, 1, 28, 10, -5, 10
1503604435869,-0.873,-0.442,+0.031,+0.203,+0.744,-0.109,-0.584,-5.125,-1.500,-9.250,21, -8, -1, 2, -8, -4, -2, -1
1503604435891,-0.874,-0.441,+0.033,+0.201,+0.804,-0.095,-0.576,-3.812,-5.062,-12.625,-14, -1, -11, -3, -14, -2, -1, -3
1503604435908,-0.875,-0.441,+0.034,+0.200,+0.820,-0.113,-0.565,-2.688,-2.375,-12.812,25, 8, -3, -2, -11, -3, -6, 2
1503604435930,-0.875,-0.440,+0.035,+0.197,+0.782,-0.077,-0.592,+0.125,-2.125,-15.688,-14, 5, -3, -5, -6, -12, -10, -13
1503604435951,-0.876,-0.440,+0.036,+0.195,+0.802,-0.090,-0.575,+1.812,-0.250,-14.938,-2, 2, -2, 1, 50, 15, -6, -15
1503604435968,-0.876,-0.440,+0.037,+0.193,+0.826,-0.121,-0.551,-1.562,+3.250,-10.812,0, -16, -15, -3, 0, -3, 2, -8
1503604435989,-0.876,-0.441,+0.038,+0.192,+0.830,-0.097,-0.556,-5.125,+3.000,-10.312,-25, -39, -13, -3, 9, 10, 5, -2
1503604436013,-0.876,-0.441,+0.040,+0.190,+0.845,-0.076,-0.536,-5.188,+0.438,-10.500,-27, 0, -4, 0, 19, 5, -6, -4
1503604436027,-0.877,-0.440,+0.041,+0.189,+0.839,-0.089,-0.538,-3.438,-7.375,-8.375,22, 1, -5, 0, 4, -10, -4, 15
1503604436050,-0.877,-0.440,+0.042,+0.188,+0.865,-0.093,-0.540,-6.750,-8.125,-7.125,-2, -4, 4, -3, -3, -2, -2, -10
1503604436076,-0.878,-0.438,+0.043,+0.188,+0.853,-0.056,-0.549,-7.000,-10.500,-4.875,-7, -2, -3, -5, -5, -5, -6, -14
1503604436089,-0.879,-0.436,+0.043,+0.188,+0.854,-0.087,-0.557,-4.875,-18.375,-1.312,7, 6, -3, -3, -15, -1, 2, -8
1503604436109,-0.880,-0.433,+0.043,+0.189,+0.812,-0.083,-0.559,-7.188,-17.938,+4.375,5, -1, 1, 0, -1, 6, 3, 7
1503604436131,-0.881,-0.430,+0.043,+0.191,+0.790,-0.081,-0.571,-9.438,-20.062,+8.750,-1, -4, -3, -1, 4, -3, 1, -3
1503604436148,-0.882,-0.428,+0.043,+0.194,+0.784,-0.105,-0.593,-8.125,-16.312,+13.375,-10, 3, -7, -3, 2, -3, -4, -8
