Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Roll,Yaw,Window
1503615962503,-0.680,-0.390,-0.344,-0.517,+0.883,-0.080,-0.382,-4.750,-7.125,-3.688,0, 15, 4, -2, 0, 2, 0, -2,1.8023023583171711,1.0927367224886022,0
1503615962517,-0.679,-0.392,-0.345,-0.516,+0.908,-0.070,-0.381,-5.688,+5.500,-1.250,3, 0, 2, -1, 0, 0, 0, 0,1.802755587249952,1.0977969051218388,0
1503615962541,-0.679,-0.393,-0.345,-0.515,+0.909,-0.070,-0.411,-7.750,+12.625,+1.562,22, 1, 2, 2, 0, -2, -9, -1,1.8044410689394363,1.099502551469152,0
1503615962563,-0.678,-0.396,-0.345,-0.514,+0.914,-0.060,-0.420,-9.875,+14.812,-2.938,-9, -6, 2, -1, 1, -1, 0, -1,1.8064838216258752,1.1049081666026914,0
1503615962577,-0.678,-0.398,-0.344,-0.514,+0.945,-0.026,-0.399,-8.000,+4.625,-6.250,5, -5, -1, -3, -1, -2, 4, -13,1.8094382418738726,1.1072741006589693,0
1503615962600,-0.677,-0.398,-0.342,-0.515,+0.975,-0.039,-0.380,-6.188,-9.688,-11.625,-1, -5, -2, 0, -2, 0, 0, -1,1.8070978789313827,1.1038434305972697,0
1503615962623,-0.677,-0.398,-0.339,-0.518,+0.919,-0.048,-0.392,-7.062,-13.188,-16.375,-26, 0, 2, -3, -1, 0, -3, -5,1.8067055428724912,1.0997149224385863,0
1503615962637,-0.677,-0.399,-0.337,-0.519,+0.862,-0.047,-0.413,-8.500,-7.938,-16.625,-7, 2, 2, 2, 0, -2, -10, -24,1.8081539510950315,1.098705213104198,0
1503615962660,-0.676,-0.400,-0.334,-0.521,+0.870,-0.018,-0.402,-10.000,-1.062,-14.688,-2, 4, -6, 0, 0, -2, 0, 13,1.8070904459130055,1.0959844876492117,0
1503615962682,-0.675,-0.402,-0.333,-0.521,+0.908,-0.027,-0.412,-8.812,+1.750,-12.438,-11, -6, 4, -1, -3, 0, 0, 0,1.8077023982085245,1.0980449022407712,0
