Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Roll,Yaw
1503697322207,+0.785,+0.585,+0.073,-0.187,+0.921,-0.317,-0.261,-12.812,-24.625,-20.688,-18, -8, -1, -7, -1, 0, 1, 3,-2.918330075177558,1.2411462235921273
1503697322223,+0.788,+0.583,+0.070,-0.186,+0.867,-0.320,-0.246,-15.812,-16.875,-16.875,-13, -9, -3, -6, -10, -8, -1, 6,-2.9160057382289937,1.2361654110036508
1503697322244,+0.789,+0.582,+0.066,-0.186,+0.919,-0.294,-0.258,-15.438,-6.875,-14.875,-8, -13, -5, -7, 2, 0, -11, -12,-2.9108846061557005,1.2331305623391404
1503697322267,+0.791,+0.581,+0.063,-0.184,+0.942,-0.279,-0.260,-12.438,-9.938,-16.500,10, 14, 0, 2, -1, -7, -1, -4,-2.9106188212211648,1.2307897655274644
1503697322282,+0.794,+0.577,+0.060,-0.182,+0.927,-0.310,-0.256,-13.188,-26.625,-24.438,7, -2, 1, 4, 3, 0, -1, -1,-2.9087421676459213,1.220355034260413
1503697322305,+0.798,+0.573,+0.056,-0.179,+0.897,-0.276,-0.273,-16.750,-28.625,-28.438,47, 20, 2, 8, 6, 9, 2, 7,-2.907833099231723,1.2104118245077593
1503697322327,+0.801,+0.570,+0.052,-0.177,+0.871,-0.237,-0.279,-15.938,-21.688,-23.938,-1, -3, -1, 3, 3, 15, 7, -2,-2.9056894340767045,1.2029758669188448
1503697322342,+0.803,+0.567,+0.048,-0.175,+0.913,-0.233,-0.333,-14.125,-16.188,-19.125,-28, -17, -3, -5, -7, -9, -13, -13,-2.9032158624011326,1.1952251240536826
1503697322365,+0.806,+0.565,+0.045,-0.173,+0.933,-0.232,-0.361,-13.000,-15.750,-21.188,-38, -5, 1, 1, 0, -3, 3, -8,-2.9030523417375336,1.1908524562451777
1503697322387,+0.809,+0.561,+0.041,-0.171,+0.973,-0.227,-0.340,-14.438,-23.438,-17.062,10, -5, -1, -3, 0, 5, 14, 0,-2.9005544443104445,1.1809436658058796
1503697322403,+0.812,+0.557,+0.039,-0.171,+0.949,-0.217,-0.370,-12.312,-22.938,-7.625,29, 7, -2, 1, 2, -2, 1, -5,-2.897153704497363,1.1711257270783588
1503697322424,+0.814,+0.554,+0.038,-0.171,+0.898,-0.238,-0.368,-12.438,-18.875,-2.562,-20, 0, 1, 1, -5, -4, -5, -11,-2.895083075263199,1.1637054873755552
1503697322447,+0.815,+0.552,+0.037,-0.172,+0.902,-0.241,-0.361,-11.500,-16.000,-0.125,-31, -13, -1, -6, -7, -1, 1, 1,-2.891555080149558,1.1585964427638538
1503697322464,+0.817,+0.549,+0.036,-0.172,+0.917,-0.243,-0.338,-9.000,-13.938,-1.688,24, 25, 9, 2, 0, -5, -3, -3,-2.8895260671639544,1.1512381143215102
1503697322485,+0.818,+0.548,+0.035,-0.173,+0.912,-0.257,-0.335,-10.750,-11.625,+2.812,6, -5, -1, 6, 0, -4, -3, 10,-2.8866605481119008,1.1489264631550018
