Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1503701484746,+0.529,+0.203,-0.347,-0.747,+0.753,+0.080,-0.637,-1.312,-0.312,+0.438,-2, -2, -3, -1, 1, -1, -1, 5
1503701484764,+0.529,+0.203,-0.347,-0.747,+0.752,+0.072,-0.634,-1.438,-0.625,+0.562,1, 0, 1, 0, -1, -1, 0, 3
1503701484776,+0.529,+0.203,-0.347,-0.747,+0.754,+0.078,-0.642,-1.188,-0.062,+0.562,0, 0, -1, 0, -1, 0, -1, -5
1503701484799,+0.529,+0.203,-0.347,-0.747,+0.750,+0.076,-0.642,-0.875,+0.062,+0.562,-4, -3, -1, -2, -1, -2, -3, -6
1503701484821,+0.529,+0.203,-0.347,-0.747,+0.759,+0.074,-0.635,-1.062,+0.312,+0.562,0, 0, -1, -1, 0, -1, 0, 4
1503701484836,+0.529,+0.203,-0.347,-0.747,+0.755,+0.072,-0.636,-1.125,+0.312,+0.625,0, 1, 0, 0, 0, 0, -1, 0
1503701484859,+0.529,+0.203,-0.347,-0.747,+0.759,+0.069,-0.637,-1.125,-0.188,+0.562,2, -3, -1, -1, -1, 1, 1, -1
1503701484882,+0.529,+0.203,-0.347,-0.747,+0.758,+0.075,-0.644,-1.125,-0.688,+0.500,-1, 0, -1, -1, 1, 0, -1, -6
1503701484896,+0.529,+0.203,-0.347,-0.747,+0.758,+0.073,-0.639,-1.250,-0.938,+0.250,-3, -2, -1, -1, -1, -2, -2, -2
1503701484919,+0.529,+0.203,-0.347,-0.747,+0.754,+0.074,-0.637,-1.312,-0.625,+0.188,-4, 2, -1, -2, -2, 0, -1, 1
1503701484943,+0.529,+0.203,-0.347,-0.747,+0.750,+0.077,-0.640,-1.250,-0.562,+0.312,1, -2, -3, -3, 0, -2, -4, -6
1503701484956,+0.529,+0.203,-0.347,-0.747,+0.750,+0.076,-0.635,-1.438,+0.062,+0.312,-1, -1, -1, 0, -2, 0, -2, 2
1503701484979,+0.529,+0.202,-0.347,-0.747,+0.752,+0.077,-0.644,-1.250,+0.062,+0.562,1, -1, -1, -1, -1, -2, 2, 0
1503701485001,+0.529,+0.202,-0.347,-0.747,+0.747,+0.076,-0.641,-1.188,-0.625,+0.562,1, -1, 0, -1, 1, 0, 1, 0
1503701485016,+0.529,+0.202,-0.347,-0.747,+0.751,+0.081,-0.638,-1.188,+0.688,+0.375,3, 0, 2, 0, 1, -2, 1, 3
1503701485039,+0.529,+0.202,-0.347,-0.747,+0.754,+0.078,-0.637,-1.062,+0.438,+0.625,-2, 0, -1, 0, -3, 0, -1, 1
1503701485061,+0.529,+0.202,-0.347,-0.747,+0.755,+0.075,-0.633,-1.250,+0.188,+0.875,-1, -2, -1, -2, -2, 0, 0, -3
1503701485079,+0.529,+0.202,-0.347,-0.747,+0.757,+0.072,-0.637,-1.250,+0.000,+0.750,-2, -1, -1, -1, -1, 0, -2, 0
1503701485099,+0.529,+0.202,-0.347,-0.747,+0.754,+0.075,-0.636,-1.188,-0.500,+0.625,-2, -2, -2, -1, 0, 0, -1, 1
1503701485121,+0.529,+0.202,-0.347,-0.747,+0.755,+0.079,-0.639,-1.125,+0.125,+0.562,-2, -1, -3, 0, -1, 0, -2, -2
1503701485136,+0.529,+0.202,-0.347,-0.747,+0.751,+0.078,-0.638,-0.750,-0.312,+0.875,-1, -1, 0, 0, -1, -1, 0, 1
1503701485159,+0.529,+0.202,-0.347,-0.747,+0.754,+0.073,-0.644,-0.812,+0.188,+0.875,3, 1, -2, -1, 0, -1, 0, 1
1503701485182,+0.529,+0.202,-0.347,-0.747,+0.750,+0.075,-0.642,-0.875,+0.500,+0.750,1, -3, 0, 0, -1, 0, 1, 0
1503701485196,+0.529,+0.202,-0.347,-0.747,+0.764,+0.072,-0.638,-0.938,+0.125,+0.562,0, -1, 0, 0, -1, 0, -1, 1
1503701485219,+0.529,+0.202,-0.347,-0.747,+0.759,+0.074,-0.635,-1.062,+0.500,+0.625,1, 1, -2, 0, -1, 0, 0, 3
