Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Roll,Yaw,Window
1503702387845,+0.914,+0.116,-0.120,-0.370,+0.328,+0.139,-0.926,-1.125,-0.438,+0.250,-1, 1, 1, 1, -1, 0, -3, 2,-2.3515608251850524,0.30843039889428625,0
1503702387868,+0.914,+0.116,-0.120,-0.370,+0.329,+0.134,-0.930,-1.000,-0.562,+0.250,-2, -2, 0, 3, 0, 0, -2, -10,-2.3515608251850524,0.30843039889428625,0
1503702387883,+0.914,+0.116,-0.120,-0.370,+0.325,+0.146,-0.928,-1.125,-0.375,+0.438,1, 0, 0, -1, 0, -1, 0, -3,-2.3515608251850524,0.30843039889428625,0
1503702387905,+0.914,+0.116,-0.120,-0.370,+0.328,+0.140,-0.932,-0.938,-0.438,+0.375,2, 1, 0, -3, -2, 1, 1, 10,-2.3515608251850524,0.30843039889428625,0
1503702387928,+0.914,+0.116,-0.120,-0.370,+0.328,+0.139,-0.935,-1.125,+0.000,+0.375,-1, -2, -2, -2, -1, -1, -1, -1,-2.3515608251850524,0.30843039889428625,0
1503702387943,+0.914,+0.116,-0.120,-0.370,+0.328,+0.141,-0.927,-1.312,-0.375,+0.188,-3, -1, -1, 1, -1, -1, -1, -5,-2.3515608251850524,0.30843039889428625,0
1503702387965,+0.914,+0.116,-0.120,-0.370,+0.323,+0.139,-0.931,-1.125,-0.312,+0.188,1, 0, -1, 0, 0, 0, -1, -1,-2.3515608251850524,0.30843039889428625,0
1503702387990,+0.914,+0.116,-0.120,-0.370,+0.324,+0.142,-0.932,-1.312,+0.062,+0.188,1, -2, -2, -3, -1, -3, -3, -3,-2.3515608251850524,0.30843039889428625,0
1503702388003,+0.914,+0.116,-0.120,-0.370,+0.327,+0.144,-0.930,-1.000,-0.250,+0.250,-2, -1, -1, -3, -3, -1, -1, -2,-2.3515608251850524,0.30843039889428625,0
1503702388026,+0.914,+0.116,-0.120,-0.370,+0.330,+0.142,-0.934,-1.000,-0.188,+0.375,-3, -3, -4, -3, -2, -4, -2, -2,-2.3515608251850524,0.30843039889428625,0
1503702388048,+0.914,+0.116,-0.120,-0.370,+0.329,+0.140,-0.922,-0.938,+0.000,+0.312,0, -1, 0, -1, 0, 0, 1, 1,-2.3515608251850524,0.30843039889428625,0
1503702388063,+0.914,+0.116,-0.120,-0.370,+0.328,+0.145,-0.933,-0.875,-0.375,+0.188,-2, -3, 0, 1, -1, -1, 0, 0,-2.3515608251850524,0.30843039889428625,0
1503702388086,+0.914,+0.116,-0.120,-0.370,+0.328,+0.137,-0.930,-0.938,-0.500,+0.500,-1, 0, 0, 0, 0, 0, 1, 0,-2.3515608251850524,0.30843039889428625,0
