Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Roll,Yaw
1503948467888,+0.899,+0.176,-0.085,+0.392,+0.272,+0.305,-0.898,-1.062,-0.938,+0.500,2, -4, 1, -3, -2, -1, 0, -11,2.358749814392197,0.26415231845724635
1503948467911,+0.899,+0.176,-0.085,+0.392,+0.264,+0.308,-0.886,-1.125,-1.688,+0.125,-1, 4, -1, 1, -1, -2, -3, 2,2.358749814392197,0.26415231845724635
1503948467926,+0.899,+0.176,-0.085,+0.392,+0.273,+0.305,-0.887,-0.875,-1.000,+0.188,2, -4, -2, -3, -3, -2, -3, 2,2.358749814392197,0.26415231845724635
1503948467950,+0.899,+0.176,-0.085,+0.392,+0.268,+0.302,-0.899,-0.750,-0.312,+0.125,-5, 2, -1, 0, -1, -2, -3, -20,2.358749814392197,0.26415231845724635
1503948467971,+0.899,+0.176,-0.085,+0.392,+0.272,+0.293,-0.899,-1.562,+1.125,-0.125,4, -2, 0, 1, 1, 0, 1, 5,2.358749814392197,0.26415231845724635
1503948467986,+0.899,+0.176,-0.085,+0.392,+0.278,+0.300,-0.889,-1.438,-0.562,-0.062,3, 5, 0, 0, 0, 1, 2, 3,2.358749814392197,0.26415231845724635
1503948468010,+0.899,+0.176,-0.085,+0.392,+0.268,+0.291,-0.889,-1.062,-0.688,+0.312,5, -4, 1, 0, -3, 0, 1, -3,2.358749814392197,0.26415231845724635
1503948468031,+0.899,+0.176,-0.085,+0.392,+0.258,+0.293,-0.898,-0.812,+1.062,+0.688,-1, -14, -4, -2, 1, 0, -3, -7,2.358749814392197,0.26415231845724635
1503948468046,+0.899,+0.177,-0.085,+0.392,+0.271,+0.293,-0.899,-1.312,+2.938,+0.750,3, 8, 0, -2, 0, 0, 2, -11,2.359395871499161,0.26615944492788735
1503948468068,+0.899,+0.177,-0.084,+0.392,+0.268,+0.293,-0.899,-1.625,+2.188,+0.938,0, 3, -1, 0, 1, 0, -1, 4,2.3591336165305608,0.2668568489892126
1503948468091,+0.899,+0.177,-0.084,+0.392,+0.274,+0.302,-0.895,-2.125,+1.188,+1.312,-7, -3, 3, 1, -3, -1, -2, -13,2.3591336165305608,0.2668568489892126
1503948468107,+0.899,+0.177,-0.085,+0.392,+0.269,+0.307,-0.887,-1.938,+0.875,+0.812,2, -1, -2, -2, 1, 1, 0, 6,2.359395871499161,0.26615944492788735
1503948468129,+0.899,+0.178,-0.085,+0.392,+0.272,+0.310,-0.889,-2.125,+1.250,+1.125,-1, -5, -2, -1, -1, -2, -1, -19,2.3600443566500937,0.26816855357884195
1503948468151,+0.899,+0.178,-0.085,+0.392,+0.271,+0.314,-0.880,-1.562,+0.438,+1.188,2, 9, 0, 0, 0, -1, -2, 30,2.3600443566500937,0.26816855357884195
1503948468168,+0.899,+0.178,-0.085,+0.392,+0.273,+0.315,-0.884,-1.312,-0.250,+1.000,1, 1, -2, 0, 0, -1, 0, -3,2.3600443566500937,0.26816855357884195
1503948468192,+0.899,+0.178,-0.085,+0.392,+0.277,+0.308,-0.886,-1.562,-1.000,+0.625,0, -2, 2, -1, -1, -1, 1, 8,2.3600443566500937,0.26816855357884195
1503948468213,+0.899,+0.178,-0.085,+0.392,+0.279,+0.311,-0.881,-1.438,-1.438,+0.375,0, 0, -3, -2, -3, -1, -1, -1,2.3600443566500937,0.26816855357884195
1503948468228,+0.899,+0.177,-0.085,+0.392,+0.281,+0.311,-0.892,-1.250,-2.812,-0.062,5, 9, 2, 0, -2, -4, -4, -8,2.359395871499161,0.26615944492788735
1503948468252,+0.899,+0.177,-0.085,+0.392,+0.274,+0.308,-0.888,-1.062,-3.562,-0.188,-1, -5, -6, -1, -1, 2, 0, 0,2.359395871499161,0.26615944492788735
1503948468273,+0.899,+0.176,-0.086,+0.392,+0.264,+0.308,-0.869,-0.438,-3.125,-0.688,-6, -5, -4, -1, -1, -1, -2, -5,2.359010659576782,0.2634542656270557
1503948468287,+0.899,+0.177,-0.085,+0.392,+0.269,+0.287,-0.886,+0.188,+1.312,-0.250,2, 7, -1, -1, -1, 0, -2, -1,2.359395871499161,0.26615944492788735
1503948468319,+0.899,+0.177,-0.085,+0.393,+0.256,+0.271,-0.908,+0.250,+3.062,+0.062,1, -6, -2, -2, -3, -2, -3, -8,2.358065268426296,0.2659879772414786
1503948468331,+0.899,+0.177,-0.084,+0.393,+0.261,+0.268,-0.913,-0.188,+5.375,+1.375,-3, 2, 4, 0, -1, 0, -1, -4,2.357803706923872,0.2666875251723981
1503948468347,+0.899,+0.178,-0.083,+0.392,+0.271,+0.290,-0.936,-2.062,+4.625,+1.688,-3, -9, 0, -1, -1, -2, 0, -6,2.359516894017978,0.2695617635209561
1503948468369,+0.899,+0.178,-0.083,+0.392,+0.277,+0.299,-0.908,-3.062,+2.125,+1.062,-5, -1, -4, -2, 1, 0, -3, 6,2.359516894017978,0.2695617635209561
1503948468391,+0.899,+0.178,-0.084,+0.392,+0.282,+0.320,-0.878,-3.312,-2.500,+1.188,-4, -7, -4, -2, -3, -3, -2, -3,2.3597805562769065,0.268864990768289
1503948468407,+0.899,+0.178,-0.085,+0.392,+0.273,+0.320,-0.861,-2.500,-2.625,+0.750,-2, -8, -4, -1, -1, -1, -1, 3,2.3600443566500937,0.26816855357884195
1503948468429,+0.899,+0.178,-0.085,+0.392,+0.281,+0.327,-0.871,-1.562,-0.312,+0.625,1, 8, -1, 0, -1, -1, 3, 13,2.3600443566500937,0.26816855357884195
1503948468451,+0.899,+0.178,-0.085,+0.392,+0.282,+0.322,-0.868,-1.062,-0.125,+0.188,-2, -2, -2, -2, 1, -1, -1, 8,2.3600443566500937,0.26816855357884195
1503948468467,+0.898,+0.178,-0.085,+0.392,+0.284,+0.314,-0.883,+0.188,-0.750,-0.250,0, -13, -2, 0, 0, 1, -2, 2,2.3579752976447437,0.2678095800019084
1503948468489,+0.898,+0.178,-0.084,+0.392,+0.265,+0.294,-0.902,+0.375,-0.188,-0.125,1, 1, -1, -1, 1, -2, 2, -10,2.3577111845290424,0.2685062861505909
1503948468511,+0.899,+0.178,-0.084,+0.392,+0.257,+0.287,-0.916,-0.375,+1.750,+0.500,4, 6, 5, 1, 0, 1, 0, 6,2.3597805562769065,0.268864990768289
1503948468533,+0.898,+0.178,-0.084,+0.392,+0.270,+0.291,-0.908,-1.812,+2.625,+1.000,3, 4, 1, -2, -1, -2, -2, -3,2.3577111845290424,0.2685062861505909
1503948468552,+0.898,+0.178,-0.084,+0.392,+0.275,+0.305,-0.900,-2.625,-0.250,+0.750,0, 4, -1, 0, -3, 0, 0, 6,2.3577111845290424,0.2685062861505909
1503948468571,+0.898,+0.178,-0.084,+0.392,+0.279,+0.308,-0.883,-2.375,-2.188,+0.438,-2, 0, -2, -2, -1, -1, -2, -21,2.3577111845290424,0.2685062861505909
1503948468593,+0.898,+0.178,-0.084,+0.392,+0.274,+0.306,-0.876,-1.688,-0.625,+0.375,1, -7, -2, 0, 0, -1, 2, 2,2.3577111845290424,0.2685062861505909
1503948468609,+0.898,+0.178,-0.084,+0.392,+0.285,+0.309,-0.875,-1.625,+0.562,+0.438,3, -2, 0, 1, 0, 1, 2, -3,2.3577111845290424,0.2685062861505909
1503948468631,+0.898,+0.178,-0.084,+0.392,+0.285,+0.306,-0.877,-0.375,-0.562,+0.500,-2, 2, 2, 0, -2, -4, -6, -24,2.3577111845290424,0.2685062861505909
1503948468653,+0.898,+0.178,-0.084,+0.392,+0.266,+0.307,-0.885,-0.062,-0.625,+0.125,-1, -3, -3, 0, 1, -3, 0, 1,2.3577111845290424,0.2685062861505909
1503948468669,+0.898,+0.178,-0.084,+0.392,+0.263,+0.301,-0.906,-0.625,+1.875,+0.438,0, -6, -1, 0, -1, 1, 3, -3,2.3577111845290424,0.2685062861505909
1503948468691,+0.898,+0.178,-0.084,+0.393,+0.275,+0.298,-0.907,-1.750,+1.562,+0.062,-4, -9, -6, -1, -1, 1, -2, -4,2.356380866937469,0.26833698521342747
1503948468713,+0.898,+0.178,-0.084,+0.392,+0.275,+0.299,-0.889,-2.062,+0.000,+0.188,-2, -11, -2, -3, 0, 0, -1, -19,2.3577111845290424,0.2685062861505909
1503948468729,+0.898,+0.178,-0.084,+0.392,+0.276,+0.304,-0.887,-1.688,-1.562,+0.438,4, 3, 0, 0, -1, -1, -1, 7,2.3577111845290424,0.2685062861505909
1503948468756,+0.898,+0.178,-0.084,+0.392,+0.268,+0.305,-0.886,-1.438,-0.812,+0.438,-1, -1, -2, -2, -1, -2, 0, 1,2.3577111845290424,0.2685062861505909
1503948468773,+0.898,+0.178,-0.084,+0.392,+0.273,+0.298,-0.886,-1.250,+0.750,+0.625,-5, -13, -1, -1, -1, -2, -3, 23,2.3577111845290424,0.2685062861505909
1503948468789,+0.898,+0.178,-0.084,+0.392,+0.280,+0.303,-0.893,-1.750,+0.938,+1.125,4, 8, 3, 1, 1, 0, -1, 3,2.3577111845290424,0.2685062861505909
1503948468820,+0.898,+0.178,-0.084,+0.392,+0.279,+0.312,-0.880,-1.500,-1.375,+0.750,3, 10, 0, -1, -4, -1, -4, 8,2.3577111845290424,0.2685062861505909
1503948468833,+0.898,+0.178,-0.084,+0.392,+0.279,+0.307,-0.891,-1.188,-0.875,+0.688,-3, 5, 0, -1, 0, 0, 0, -4,2.3577111845290424,0.2685062861505909
1503948468849,+0.898,+0.178,-0.084,+0.392,+0.276,+0.311,-0.888,-1.750,-1.062,+0.562,0, -1, -1, -1, -1, 0, 0, 20,2.3577111845290424,0.2685062861505909
1503948468871,+0.898,+0.178,-0.084,+0.392,+0.280,+0.309,-0.881,-1.312,-0.312,+0.375,-2, -16, -4, 1, -1, -2, 1, -2,2.3577111845290424,0.2685062861505909
1503948468893,+0.898,+0.178,-0.084,+0.392,+0.279,+0.299,-0.888,-1.312,-0.375,+0.250,3, 5, 2, 1, 1, 1, 1, -4,2.3577111845290424,0.2685062861505909
1503948468909,+0.898,+0.178,-0.084,+0.392,+0.272,+0.307,-0.888,-1.312,-0.438,+0.062,1, 4, -1, 0, 1, 0, -3, -11,2.3577111845290424,0.2685062861505909
1503948468931,+0.898,+0.178,-0.084,+0.392,+0.281,+0.300,-0.890,-1.312,-0.500,+0.250,5, 3, 2, 0, -2, -1, -3, 0,2.3577111845290424,0.2685062861505909
1503948468961,+0.898,+0.178,-0.084,+0.392,+0.275,+0.301,-0.891,-1.625,-0.625,+0.312,1, 2, -4, -5, -2, 0, 2, -15,2.3577111845290424,0.2685062861505909
1503948468976,+0.898,+0.178,-0.084,+0.392,+0.277,+0.304,-0.895,-1.438,-1.062,+0.312,1, -1, -3, -1, 0, 0, 2, 8,2.3577111845290424,0.2685062861505909
1503948468991,+0.898,+0.178,-0.084,+0.392,+0.269,+0.304,-0.889,-1.562,+0.250,+0.125,-1, 0, 1, 0, 1, -1, -2, -12,2.3577111845290424,0.2685062861505909
1503948469013,+0.898,+0.178,-0.084,+0.392,+0.277,+0.305,-0.889,-1.500,+1.250,+0.375,3, 5, 2, 1, -1, -1, -1, 24,2.3577111845290424,0.2685062861505909
1503948469030,+0.898,+0.179,-0.084,+0.392,+0.277,+0.304,-0.885,-1.000,+1.250,+0.500,-7, -8, -2, 0, -2, 0, -3, -3,2.3583634914916787,0.2705145213306168
1503948469051,+0.898,+0.179,-0.084,+0.392,+0.274,+0.308,-0.884,-0.750,+0.812,+0.562,-4, 2, -3, -1, -1, -2, -1, -19,2.3583634914916787,0.2705145213306168
1503948469073,+0.898,+0.179,-0.084,+0.392,+0.277,+0.307,-0.891,-0.438,+0.375,+0.875,2, 2, 0, -1, -1, 0, 0, -9,2.3583634914916787,0.2705145213306168
1503948469089,+0.898,+0.179,-0.084,+0.392,+0.272,+0.303,-0.895,-0.875,+0.562,+0.500,1, 3, 2, 0, -1, -2, -1, 10,2.3583634914916787,0.2705145213306168
1503948469111,+0.898,+0.179,-0.084,+0.392,+0.281,+0.310,-0.894,-1.500,+0.250,+0.688,2, -9, 0, -2, 0, -1, -2, -4,2.3583634914916787,0.2705145213306168
1503948469133,+0.898,+0.179,-0.084,+0.392,+0.278,+0.304,-0.888,-1.125,-0.312,+0.562,1, 1, -1, 1, -2, -2, 0, -11,2.3583634914916787,0.2705145213306168
1503948469149,+0.898,+0.179,-0.084,+0.392,+0.274,+0.308,-0.885,-1.000,-0.812,+0.688,2, 1, -1, 0, 0, -1, 0, 0,2.3583634914916787,0.2705145213306168
1503948469171,+0.898,+0.179,-0.084,+0.392,+0.274,+0.308,-0.889,-1.250,+0.625,+0.500,-2, -1, -2, -2, -4, -1, -3, 6,2.3583634914916787,0.2705145213306168
1503948469193,+0.898,+0.179,-0.084,+0.392,+0.274,+0.302,-0.894,-1.562,+1.125,+0.250,2, 4, 0, -2, 0, -1, -2, 14,2.3583634914916787,0.2705145213306168
1503948469209,+0.898,+0.179,-0.084,+0.392,+0.277,+0.298,-0.899,-1.562,+0.375,+0.375,-5, 5, -3, -1, -2, -1, -1, 11,2.3583634914916787,0.2705145213306168
1503948469231,+0.898,+0.179,-0.084,+0.392,+0.279,+0.301,-0.893,-1.875,-0.375,+0.250,3, 4, -1, -1, 0, 1, 3, 2,2.3583634914916787,0.2705145213306168
1503948469253,+0.898,+0.179,-0.084,+0.392,+0.271,+0.305,-0.883,-1.688,+0.188,+0.375,-2, 1, 3, -1, -2, -1, -1, 1,2.3583634914916787,0.2705145213306168
1503948469269,+0.898,+0.179,-0.084,+0.392,+0.278,+0.304,-0.887,-1.188,+0.375,+0.562,1, 0, 3, 0, -3, 0, 0, -11,2.3583634914916787,0.2705145213306168
1503948469291,+0.898,+0.179,-0.084,+0.392,+0.277,+0.302,-0.887,-1.062,+1.250,+0.312,1, -2, -2, -1, 2, -2, 0, 1,2.3583634914916787,0.2705145213306168
1503948469313,+0.898,+0.180,-0.084,+0.393,+0.277,+0.304,-0.890,-1.250,+1.500,+0.250,2, 0, -3, -2, 1, 0, 1, -8,2.357687251403276,0.2723555694102468
1503948469329,+0.898,+0.180,-0.084,+0.393,+0.279,+0.309,-0.892,-1.500,+1.188,+0.375,-1, -6, -3, -1, -3, 2, -1, 5,2.357687251403276,0.2723555694102468
1503948469351,+0.898,+0.180,-0.084,+0.393,+0.281,+0.310,-0.884,-1.500,-0.688,+0.000,0, 11, 5, 2, -1, -3, -1, 10,2.357687251403276,0.2723555694102468
1503948469373,+0.898,+0.180,-0.084,+0.393,+0.263,+0.307,-0.884,-1.062,-0.500,-0.125,-2, 3, -1, -2, 2, -2, -2, 0,2.357687251403276,0.2723555694102468
1503948469391,+0.898,+0.180,-0.084,+0.393,+0.277,+0.303,-0.879,-1.250,+1.250,+0.688,1, -5, 2, 0, 0, 0, -1, -8,2.357687251403276,0.2723555694102468
1503948469411,+0.898,+0.180,-0.084,+0.393,+0.277,+0.301,-0.887,-1.438,+1.875,+0.438,3, 0, -4, -2, -3, -3, -3, -3,2.357687251403276,0.2723555694102468
