Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Roll,Yaw
1503947384373,+0.980,+0.073,-0.112,-0.150,+0.207,+0.206,-0.938,-0.938,-0.250,+0.500,4, 4, 1, 1, 1, 0, 1, 12,-2.819971579217396,0.18121953814258826
1503947384396,+0.980,+0.073,-0.112,-0.150,+0.201,+0.215,-0.936,-1.188,-0.188,+0.625,1, -2, -3, -1, -1, 0, 1, 0,-2.819971579217396,0.18121953814258826
1503947384412,+0.980,+0.073,-0.112,-0.150,+0.200,+0.213,-0.933,-1.125,+0.562,+0.688,1, -3, -3, -1, -1, 1, 1, 0,-2.819971579217396,0.18121953814258826
1503947384433,+0.980,+0.073,-0.112,-0.150,+0.200,+0.205,-0.936,-0.812,+0.812,+0.438,-7, -4, -2, -3, -2, 0, -5, -12,-2.819971579217396,0.18121953814258826
1503947384455,+0.980,+0.073,-0.112,-0.150,+0.202,+0.213,-0.942,-1.625,+1.062,+1.062,2, -2, -1, -2, -2, -1, -2, 2,-2.819971579217396,0.18121953814258826
1503947384470,+0.979,+0.073,-0.112,-0.150,+0.212,+0.215,-0.930,-1.688,+1.562,+0.875,2, 2, 3, 1, 0, -1, -2, 4,-2.818996228898439,0.1810730400908577
1503947384492,+0.979,+0.073,-0.112,-0.150,+0.219,+0.214,-0.933,-1.312,+0.625,+0.562,-5, -5, -6, -2, -3, -2, -2, -5,-2.818996228898439,0.1810730400908577
1503947384515,+0.979,+0.074,-0.112,-0.150,+0.211,+0.210,-0.938,-0.750,+0.000,+0.125,-2, 2, 1, -2, 0, -1, -1, -1,-2.81887435067812,0.18309164891611296
1503947384537,+0.979,+0.074,-0.112,-0.150,+0.199,+0.203,-0.942,-1.375,+0.188,+0.438,0, 1, 1, 0, -1, -1, -1, -1,-2.81887435067812,0.18309164891611296
1503947384552,+0.979,+0.074,-0.112,-0.150,+0.196,+0.215,-0.935,-1.938,+1.500,+0.312,0, -1, 0, -2, -1, 1, 1, 8,-2.81887435067812,0.18309164891611296
1503947384575,+0.979,+0.074,-0.113,-0.150,+0.209,+0.210,-0.935,-1.438,+1.625,+0.562,1, -2, -2, -1, -3, 2, -1, -7,-2.8187308901387214,0.18347627485049342
1503947384598,+0.979,+0.074,-0.113,-0.150,+0.213,+0.214,-0.936,-0.938,+0.500,+0.688,-2, -3, -4, -4, 0, -1, 1, -1,-2.8187308901387214,0.18347627485049342
1503947384613,+0.979,+0.074,-0.113,-0.150,+0.212,+0.210,-0.940,-0.688,+0.438,+0.250,0, -6, -1, 1, -1, -2, 0, -8,-2.8187308901387214,0.18347627485049342
1503947384635,+0.979,+0.074,-0.113,-0.150,+0.207,+0.215,-0.934,-1.688,+0.438,+0.625,-7, -4, -3, 0, 1, 2, 0, 4,-2.8187308901387214,0.18347627485049342
1503947384660,+0.979,+0.074,-0.113,-0.150,+0.210,+0.207,-0.938,-1.438,+0.875,+0.125,3, -6, -2, 0, -2, -3, -3, 0,-2.8187308901387214,0.18347627485049342
1503947384672,+0.979,+0.074,-0.113,-0.150,+0.207,+0.217,-0.925,-1.375,+0.688,+0.125,-3, 1, -1, -4, -1, 0, 0, -2,-2.8187308901387214,0.18347627485049342
1503947384695,+0.979,+0.074,-0.113,-0.150,+0.208,+0.207,-0.936,-1.250,+0.062,+0.688,9, 2, 2, -1, 0, -2, -2, -4,-2.8187308901387214,0.18347627485049342
1503947384717,+0.979,+0.074,-0.113,-0.150,+0.199,+0.216,-0.930,-1.500,+1.375,+0.688,2, 1, 0, -1, -3, -3, -2, -12,-2.8187308901387214,0.18347627485049342
1503947384733,+0.979,+0.075,-0.113,-0.150,+0.212,+0.214,-0.937,-1.875,+1.625,+0.625,1, 1, -1, 1, -1, -1, -2, 4,-2.818608515568434,0.18549612932569962
1503947384755,+0.979,+0.075,-0.113,-0.150,+0.211,+0.218,-0.928,-1.500,+1.000,+0.562,2, -2, 0, 0, 0, -1, -1, 1,-2.818608515568434,0.18549612932569962
1503947384771,+0.979,+0.075,-0.113,-0.150,+0.217,+0.215,-0.942,-1.500,+1.062,+0.938,-4, -1, -1, -3, -1, -1, 2, 0,-2.818608515568434,0.18549612932569962
1503947384794,+0.979,+0.075,-0.113,-0.150,+0.212,+0.198,-0.945,-2.000,+1.000,+0.562,-4, 5, 0, 3, 1, 1, 1, 8,-2.818608515568434,0.18549612932569962
1503947384815,+0.979,+0.075,-0.113,-0.150,+0.209,+0.219,-0.925,-3.125,+1.062,+0.938,10, 3, 0, 0, 0, 0, 2, 7,-2.818608515568434,0.18549612932569962
1503947384831,+0.979,+0.075,-0.114,-0.150,+0.208,+0.213,-0.924,-1.812,+1.562,+0.688,4, -1, -1, -1, -2, -1, -1, 0,-2.818463189006219,0.18588258663949397
1503947384852,+0.979,+0.075,-0.114,-0.150,+0.207,+0.221,-0.927,-1.312,+1.062,+0.750,-1, 0, -2, 1, -1, 0, -2, -5,-2.818463189006219,0.18588258663949397
1503947384875,+0.979,+0.076,-0.114,-0.150,+0.216,+0.213,-0.933,-0.812,+1.312,+0.562,-6, -4, -1, 0, -1, 0, -1, -6,-2.8183403224108856,0.18790369952002187
1503947384890,+0.979,+0.076,-0.114,-0.150,+0.220,+0.211,-0.946,-1.312,+0.750,+0.750,-3, -2, -2, -1, -2, -1, 0, -3,-2.8183403224108856,0.18790369952002187
